PotN,SoiltempC
1,20.73
2,21.18
3,21.04
4,20.45
5,20.95
6,21.77
7,21.59
8,21.49
9,21.33
10,21.6
11,20.73
12,21.18
13,21.04
14,20.45
15,20.95
16,21.77
17,21.59
18,21.49
19,21.33
20,21.6
21,20.73
22,21.18
23,21.04
24,20.45
25,20.95
26,21.77
27,21.59
28,21.49
29,21.33
30,21.6
31,20.73
32,21.18
33,21.04
35,20.45
36,21.77
37,21.59
38,21.49
39,21.33
40,21.6
41,20.73
42,21.18
43,21.04
44,20.45
45,20.95
46,21.77
47,21.59
48,21.49
49,21.33
50,21.6
61,20.73
62,21.18
63,21.04
64,20.45
65,20.95
66,21.77
67,21.59
68,21.49
69,21.33
70,21.6
71,20.73
72,21.18
73,21.04
74,20.45
75,20.95
76,21.77
77,21.59
78,21.49
79,21.33
80,21.6
81,20.73
82,21.18
83,21.04
84,20.45
85,20.95
86,21.77
87,21.59
88,21.49
89,21.33
90,21.6
91,20.73
92,21.18
93,21.04
94,20.45
95,20.95
96,21.77
97,21.59
98,21.49
99,21.33
100,21.6
101,20.73
102,21.18
103,21.04
104,20.45
105,20.95
106,21.77
107,21.59
108,21.49
109,21.33
110,21.6
111,20.73
112,21.18
113,21.04
114,20.45
115,20.95
116,21.77
117,21.59
118,21.49
119,21.33
120,21.6
131,20.73
132,21.18
133,21.04
134,20.45
135,20.95
136,21.77
137,21.59
138,21.49
139,21.33
140,21.6
141,20.73
142,21.18
143,21.04
144,20.45
145,20.95
146,21.77
147,21.59
148,21.49
149,21.33
150,21.6
151,20.73
152,21.18
153,21.04
154,20.45
155,20.95
156,21.77
157,21.59
158,21.49
159,21.33
160,21.6
161,20.73
162,21.18
163,21.04
164,20.45
165,20.95
166,21.77
167,21.59
168,21.49
169,21.33
170,21.6
171,20.73
172,21.18
173,21.04
174,20.45
175,20.95
176,21.77
177,21.59
178,21.49
179,21.33
180,21.6
181,20.73
182,21.18
183,21.04
184,20.45
185,20.95
186,21.77
187,21.59
189,21.49
190,21.33
191,20.73
192,21.18
193,21.04
194,20.45
195,20.95
196,21.77
197,21.59
198,21.49
199,21.33
200,21.6
201,20.73
202,21.18
203,21.04
204,20.45
205,20.95
206,21.77
207,21.59
208,21.49
209,21.33
210,21.6
211,20.73
212,21.18
213,21.04
214,20.45
215,20.95
216,21.77
217,21.59
218,21.49
219,21.33
220,21.6
221,20.73
222,21.18
223,21.04
224,20.45
225,20.95
226,21.77
227,21.59
228,21.49
229,21.33
230,21.6
231,20.73
233,21.04
234,20.45
235,20.95
236,21.77
237,21.59
238,21.49
239,21.33
240,21.6
241,20.73
242,21.18
243,21.04
244,20.45
245,20.95
247,21.77
248,21.59
249,21.49
250,21.33
251,20.73
252,21.18
253,21.04
254,20.45
255,20.95
256,21.77
257,21.59
258,21.49
259,21.33
260,21.6
